setting_id,owner,language,sound_effects,background_music,auto_pass_priority,animation_speed,card_back_design,notification_friend_online,notification_tournament,privacy_level,timer_preference
129,129,중국어,False,True,False,느림,11,True,True,비공개,138
291,291,중국어,True,True,False,보통,20,True,True,공개,103
9,9,중국어,True,True,True,보통,18,True,True,비공개,83
71,71,일본어,True,True,True,빠름,4,False,True,친구만,175
265,265,중국어,True,True,False,빠름,9,True,True,친구만,90
65,65,중국어,True,False,False,느림,14,False,True,비공개,152
45,45,영어,True,True,False,느림,16,True,True,공개,133
280,280,일본어,True,True,True,빠름,18,False,True,비공개,130
157,157,영어,True,True,True,느림,10,True,True,비공개,173
41,41,한국어,True,True,False,빠름,4,True,True,친구만,141
124,124,일본어,True,True,False,빠름,9,True,True,비공개,144
276,276,중국어,False,True,False,빠름,20,False,False,친구만,173
217,217,중국어,True,True,False,보통,15,True,True,비공개,130
154,154,한국어,True,True,True,빠름,14,True,True,친구만,162
24,24,중국어,True,True,False,느림,5,False,True,비공개,109
262,262,영어,True,True,True,빠름,12,False,True,비공개,163
111,111,일본어,True,True,True,느림,18,False,True,친구만,133
82,82,한국어,False,True,True,느림,1,True,True,비공개,69
208,208,일본어,True,False,True,느림,16,True,True,비공개,43
213,213,중국어,True,False,False,느림,3,False,True,비공개,166
40,40,중국어,True,True,True,느림,8,False,True,친구만,98
241,241,일본어,False,True,True,느림,2,True,True,친구만,131
292,292,중국어,True,False,False,느림,20,True,True,비공개,143
259,259,일본어,True,True,True,느림,7,True,True,비공개,76
200,200,일본어,False,False,False,느림,13,False,False,공개,45
15,15,중국어,True,True,True,빠름,3,True,True,친구만,40
48,48,영어,False,True,False,보통,8,True,True,공개,53
95,95,한국어,True,False,False,보통,11,True,True,친구만,141
264,264,중국어,False,True,True,느림,19,False,True,공개,54
228,228,영어,True,True,True,보통,9,False,True,공개,155
274,274,한국어,False,False,False,느림,15,False,True,친구만,105
202,202,중국어,True,True,True,느림,1,True,True,친구만,144
162,162,일본어,True,True,True,느림,11,True,True,친구만,45
44,44,중국어,True,True,False,느림,17,False,False,친구만,104
218,218,영어,True,False,True,빠름,6,True,True,비공개,46
146,146,한국어,True,True,True,보통,18,False,True,비공개,80
191,191,중국어,True,True,True,느림,10,False,True,비공개,90
221,221,중국어,True,True,True,빠름,6,True,True,비공개,41
252,252,한국어,True,True,True,느림,18,True,True,비공개,145
4,4,영어,True,False,False,빠름,2,True,True,비공개,172
106,106,일본어,True,False,True,빠름,18,True,True,비공개,53
54,54,중국어,True,True,False,느림,20,False,True,비공개,142
134,134,중국어,True,True,True,보통,12,False,True,공개,125
2,2,한국어,True,True,True,느림,19,True,True,공개,94
132,132,일본어,True,True,False,느림,5,False,True,공개,144
104,104,한국어,True,True,True,빠름,1,False,True,친구만,158
50,50,한국어,False,True,False,보통,13,True,True,공개,148
81,81,일본어,True,False,False,빠름,6,True,True,친구만,57
206,206,영어,True,False,False,느림,12,True,True,비공개,75
35,35,중국어,False,True,True,빠름,14,True,True,공개,41
92,92,일본어,True,True,False,보통,12,False,True,공개,70
53,53,일본어,True,True,False,느림,16,False,True,비공개,147
242,242,일본어,True,True,False,빠름,7,False,True,친구만,129
14,14,한국어,True,True,True,빠름,14,True,True,공개,95
89,89,영어,False,False,True,빠름,15,True,True,공개,70
167,167,일본어,True,True,False,보통,8,True,True,공개,98
295,295,일본어,False,False,False,빠름,20,True,True,비공개,151
135,135,중국어,True,True,False,빠름,20,False,True,친구만,177
288,288,일본어,True,True,False,보통,7,True,True,공개,49
244,244,영어,True,True,True,보통,3,True,True,공개,135
55,55,일본어,True,True,False,빠름,20,True,True,비공개,140
51,51,영어,True,True,True,느림,14,True,True,비공개,79
175,175,영어,False,False,False,빠름,9,True,True,비공개,146
190,190,중국어,True,True,True,빠름,17,False,True,공개,62
299,299,중국어,False,False,False,빠름,8,False,False,친구만,62
188,188,일본어,True,False,False,느림,12,True,False,공개,102
170,170,한국어,False,True,False,빠름,13,True,True,비공개,95
59,59,영어,True,False,False,빠름,4,False,True,공개,88
49,49,중국어,True,False,False,느림,18,True,True,친구만,65
236,236,중국어,True,True,False,느림,17,False,True,비공개,118
253,253,영어,True,True,False,빠름,6,False,True,공개,160
22,22,영어,False,False,False,느림,16,False,True,공개,163
161,161,한국어,True,False,False,빠름,18,True,True,공개,172
277,277,중국어,True,False,False,보통,14,True,True,친구만,163
192,192,한국어,True,True,True,보통,19,True,True,비공개,117
258,258,한국어,True,True,False,빠름,3,True,True,친구만,101
150,150,한국어,False,False,True,빠름,12,False,True,비공개,174
131,131,영어,True,True,False,보통,13,True,True,공개,103
152,152,일본어,True,False,False,느림,3,False,True,비공개,102
100,100,한국어,True,True,False,보통,2,True,True,공개,35
88,88,한국어,True,False,False,보통,11,True,True,공개,85
215,215,중국어,True,True,True,보통,15,False,True,비공개,55
122,122,중국어,True,True,False,빠름,1,False,True,비공개,60
300,300,영어,True,True,True,보통,14,False,True,친구만,36
21,21,일본어,False,True,False,보통,17,False,True,공개,30
189,189,한국어,True,True,True,느림,7,True,True,비공개,122
72,72,영어,True,True,False,빠름,5,True,True,비공개,76
107,107,영어,True,True,True,보통,11,True,True,공개,154
271,271,영어,True,True,True,빠름,13,True,False,공개,112
103,103,영어,True,True,False,보통,8,False,True,비공개,108
